,statement,source,year,veracity
24_10,Says that Minnesota Democratic congressional candidate Dean Phillips doesn’t offer health insurance for his employees.,National Republican Congressional Committee,"stated on September 15, 2018 in a TV ad:",barely-true
24_11,"Says ""On the Public Service Commission, (Kevin Cramer) raised his pay to over $93,650.""",Heidi Heitkamp,"stated on September 26, 2018 in a campaign ad:",false
24_12,"Says a bill co-sponsored by Sen. Claire McCaskill ""would give a free pass to any illegal immigrant who brings a child to the border.""",Josh Hawley,"stated on September 13, 2018 in a foxnews.com op-ed:",false
24_13,"""Some of the Democrats have been talking about ending (coverage for) pre-existing conditions.""",Donald Trump,"stated on October 4, 2018 in a rally in Rochester, Minn.:",pants-fire
24_14,"""Dark money is paying for over 80 percent of (Kavanaugh’s) ads.""",Jon Tester,"stated on October 4, 2018 in in a debate:",half-true
24_15,"Says Bruce Poliquin ""voted to strip 117,000 Mainers of their insurance.""",Maine Democratic Party,"stated on October 1, 2018 in a mailer:",half-true
24_16,"Says Sen. Richard Blumenthal said he served in Vietnam in ""Da Nang Province. Soldiers dying left and right as we battled up the hill."" And ""then he cried when (the press) caught him.""",Donald Trump,"stated on October 2, 2018 in a rally in Southaven, Miss.:",false
24_17,"Says Sen. Richard Blumenthal ""lied about his service"" in Vietnam.",Donald Trump,"stated on October 2, 2018 in a rally in Southaven, Miss.:",mostly-true
24_18,"Says Jacky Rosen ""voted against stopping criminals from re-entering the United States.""",Senate Leadership Fund,"stated on September 25, 2018 in an attack ad:",barely-true
24_19,"Says Republicans ""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades.""",Donald Trump,"stated on October 1, 2018 in a midterm rally in Johnson City, Tenn.:",false
24_20,"Under Phil Bredesen, in sexual harassment cases, his administration chose ""to shred some of the documents so that women’s voices would never be heard.""",Marsha Blackburn,"stated on September 25, 2018 in a debate in Nashville, Tenn.:",half-true
24_21,"Says New Jersey U.S. Rep. Leonard Lance was ""rated among the most bipartisan in Congress.""",Congressional Leadership Fund,"stated on September 27, 2018 in a campaign ad:",mostly-true
24_22,"""Since NAFTA’s adoption, the United States racked up trade deficits totaling more than $2 trillion.""",Donald Trump,"stated on October 1, 2018 in a White House press event:",mostly-true
24_23,"Says Kansas U.S. House candidate Paul Davis was caught with a stripper during a drug raid and later voted to ""allow strip clubs to open near homes, churches, schools and daycare facilities.""",Congressional Leadership Fund,"stated on September 19, 2018 in a TV ad:",half-true
24_24,"Says Ohio U.S. Rep. Troy Balderson backs a ""massive tax giveaway"" for corporations ""by slashing Medicare and Social Security.""",Danny O'Connor,"stated on September 25, 2018 in a campaign ad:",barely-true
24_25,Says Elissa Slotkin’s plan is to take Medicare away from current senior recipients.,Mike Bishop,"stated on September 21, 2018 in a TV ad:",false
24_26,"Says Brett ""Kavanaugh accuser Christine Blasey exposed for ties to Big Pharma abortion pill maker… effort to derail Kavanaugh is plot to protect abortion industry profits.""",Bloggers,"stated on September 21, 2018 in blog post headline:",pants-fire
24_27,"Under the North American Free Trade Agreement, ""we lost thousands of plants.""",Donald Trump,"stated on September 20, 2018 in an interview with Fox News' Sean Hannity:",mostly-true
24_28,"Under the North American Free Trade Agreement, ""we lost millions of jobs.""",Donald Trump,"stated on September 20, 2018 in an interview with Fox News' Sean Hannity:",false
24_29,"Says ""Texas U.S. Rep John Culberson voted to let insurance companies charge people 50 and over five times more than younger people.""",Lizzie Pannill Fletcher,"stated on September 19, 2018 in a campaign ad:",half-true
25_0,"Says Democratic congressional candidate Tom Malinowski ""supports a full repeal of the 2017 tax law, which includes vital tax incentives"" for New Jersey communities.",Leonard Lance,"stated on September 10, 2018 in a campaign statement :",half-true
25_1,"Says Tennessee Senate candidate Phil Bredesen ""supports single-payer health care.""",Senate Leadership Fund,"stated on September 18, 2018 in a television ad:",barely-true
25_2,"On investigating during the Supreme Court confirmation process, ""The FBI doesn’t do that.""",Donald Trump,"stated on September 18, 2018 in an exchange with reporters:",false
25_3,"Says Michigan congressional candidate Elissa Slotkin ""just parachuted into the district to run for Congress"" and ""admitted that she doesn’t know our area.""",Mike Bishop,"stated on September 19, 2018 in a campaign ad:",half-true
25_4,"Says Marsha Blackburn ""at the behest of the pharmaceutical industry, co-sponsored a law that weakened DEA enforcement efforts against drug distribution companies that were supplying corrupt doctors and pharmacists who peddled narcotics to the black market.""",Phil Bredesen,"stated on August 24, 2018 in a press release:",mostly-true
25_5,"Says 3,000 people ""did not die"" in two hurricanes that hit Puerto Rico. That death toll estimate was ""done by Democrats.""",Donald Trump,"stated on September 13, 2018 in tweets:",false
25_6,"Says Dino Rossi ""stripped"" health care ""from 45,000 children.""",House Majority PAC,"stated on September 12, 2018 in campaign ad:",mostly-true
25_7,"Says Minnesota U.S. House candidate Joe Radinovich has ""spent his life running from the law, charged with 18 crimes.""",Congressional Leadership Fund,"stated on September 12, 2018 in a campaign ad:",barely-true
25_8,"""Puerto Rico’s electric grid and their electric generating plant was dead before the storms ever hit. It was in very bad shape. It was in bankruptcy. It had no money. It was largely -- you know, it was largely closed.""",Donald Trump,"stated on September 11, 2018 in press conference:",half-true
25_9,Says the Trump administration transferred $10 million from FEMA to ICE.,Jeff Merkley,"stated on September 11, 2018 in an MSNBC interview:",true
25_10,"Says Joe Donnelly ""voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.""",One Nation PAC,"stated on August 31, 2018 in a digital ad:",barely-true
25_11,"Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered ""abortion-inducing drugs.""",Kamala Harris,"stated on September 7, 2018 in a tweet:",false
25_12,"Says Joe Radinovich ""was cited 30 times for not paying court fines.""",Congressional Leadership Fund,"stated on August 17, 2018 in A campaign ad:",mostly-true
25_13,"""When Abraham Lincoln made the Gettysburg Address speech, the great speech, do you know he was ridiculed? He was ridiculed.""",Donald Trump,"stated on September 6, 2018 in a rally in Billings, Mont.:",mostly-true
25_14,"""Your family"" will pay $2,500 ""after Kara Eastman eliminates your tax cut.""",Congressional Leadership Fund,"stated on September 4, 2018 in A campaign ad:",false
25_15,"Says Amy McGrath ""wants to fund more welfare for people who can work, but don’t.""",Congressional Leadership Fund,"stated on August 8, 2018 in an ad:",half-true
25_16,"""In Augusta, (Jared) Golden voted to let welfare recipients use your tax dollars to buy tattoos, tobacco, alcohol, even lottery tickets.""",Congressional Leadership Fund,"stated on August 27, 2018 in in a TV ad:",barely-true
25_17,"""We’re making (Medicare) stronger. We’re making Social Security stronger.""",Donald Trump,"stated on September 5, 2018 in an exchange with reporters:",false
25_18,"""Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don’t know why Washington politicians don’t change libel laws?""",Donald Trump,"stated on September 5, 2018 in a tweet:",false
25_19,"""Two long running, Obama era, investigations of two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department.""",Donald Trump,"stated on September 3, 2018 in in a tweet:",barely-true
25_20,"""For only the second time since 2000, there are more job openings than Americans who are unemployed.""",West Virginia Republican Party,"stated on August 10, 2018 in a tweet:",true
25_21,"""A few months ago, it hit where West Virginia is, on a per capita basis, one of the most successful (gross domestic product) states in our union.""",Donald Trump,"stated on August 21, 2018 in a rally in Charleston, W.Va.:",barely-true
25_22,"""This year West Virginia produced more AmeriCorps members than any other state.""",Joe Manchin,"stated on August 8, 2018 in a tweet:",true
25_23,"As Tennessee governor, Phil Bredesen ""supported higher taxes on us. Higher gas taxes. Higher sales taxes.""",Americans for Prosperity,"stated on August 29, 2018 in an attack ad:",false
25_24,"Says ""96 percent of (Google News) results on ‘Trump News’ are from National Left-Wing Media.""",Donald Trump,"stated on August 28, 2018 in a tweet:",false
25_25,"Says the ""South African Government is now seizing land from white farmers"" and alleges a ""large scale killing of farmers"" in the country.",Donald Trump,"stated on August 22, 2018 in a tweet:",barely-true
25_26,"Says Kevin Cramer voted to let insurance companies go back to denying coverage for 300,000 North Dakotans with pre-existing conditions.",Heidi Heitkamp,"stated on August 16, 2018 in a campaign ad:",half-true
25_27,"""Thanks to President Trump and Republican leadership, the number of people collecting food stamps has declined by more than two million.""",West Virginia Republican Party,"stated on August 1, 2018 in a tweet:",mostly-true
25_28,"""The American economy is continuing its longest monthly streak of job growth in history, with 3.9 million jobs added since President Trump was elected.""",West Virginia Republican Party,"stated on August 8, 2018 in a tweet:",true
25_29,"""I want clean air. I want crystal clean water. And we’ve got it. We’ve got the cleanest country in the planet right now.""",Donald Trump,"stated on August 21, 2018:",barely-true
